UCI,vi 20/3,sá 21/3,do 22/3,lu 23/3,ma 24/3,mi 25/3,ju 26/3,vi 27/3,sá 28/3,do 29/3,lu 30/3,ma 31/3,mi 01/4,ju 02/4,vi 03/4,sá 04/4,do 05/4,lu 06/4,ma 07/4,mi 08/4,ju 09/4,vi 10/4,sá 11/4,do 12/4,lu 13/4,ma 14/4,mi 15/4,ju 16/4,vi 17/4,sá 18/4,do 19/4,lu 20/4,ma 21/4,mi 22/4,ju 23/4,vi 24/4,sá 25/4,do 26/4,lu 27/4,ma 28/4,mi 29/4,ju 30/4,vi 01/5,sá 02/5,do 03/5,lu 04/5, ma 05/5,mi 06/5
Andalucía,53,55,77,102,,,,,172,201,216,,,,,,,,,418,389,385,381,366,358,343,334,315,304,289,278,277,257,235,223,206,195,187,183,172,166,158,149,142,136,136,120,105
Aragón,33,45,52,66,75,93,114,124,129,134,147,147,157,163,165,166,167,165,164,163,157,158,153,154,146,138,131,131,124,121,118,119,113,103,100,99,98,89,86,83,74,67,66,66,59,58,53,46
Asturias,12,15,20,23,29,34,48,51,57,57,61,72,76,82,81,83,76,74,70,65,65,62,61,61,63,60,61,61,58,56,56,53,56,53,50,48,46,45,43,38,34,36,37,37,35,33,29,30
Baleares,21,26,40,50,57,75,70,72,90,93,95,100,103,106,110,111,115,110,112,104,93,93,91,87,86,83,79,75,75,76,75,74,70,71,70,68,67,65,61,61,54,54,54,51,51,52,50,51
Canarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantabria,7,11,15,20,22,24,29,36,38,41,45,47,47,47,47,43,43,40,41,38,39,36,36,33,30,28,27,22,20,18,17,18,18,17,16,9,9,9,8,9,8,6,6,6,5,3,3,3
Castilla La Mancha,65,76,142,182,210,243,273,289,299,302,344,353,355,355,360,357,354,360,354,342,329,316,302,300,304,307,281,271,248,239,241,230,222,214,208,202,190,196,189,181,180,183,165,150,150,140,132,122
Castilla y León,85,106,120,137,170,202,228,249,278,307,325,345,353,355,348,351,348,346,342,338,332,327,323,312,308,307,297,288,282,276,267,246,236,224,220,211,202,209,202,191,180,169,175,167,167,164,149,140
Cataluña,298,298,551,551,601,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceuta,0,0,0,0,1,2,2,2,2,2,3,3,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
C. Valenciana,84,113,138,161,198,230,252,282,309,336,356,365,379,386,386,381,384,384,371,360,347,332,320,316,305,301,274,252,238,223,217,206,193,179,170,160,154,149,139,135,127,119,120,118,114,105,102,98
Extremadura,7,9,13,19,28,34,34,41,40,43,51,58,62,64,64,66,60,64,66,65,68,63,60,59,55,54,54,49,48,47,43,41,41,41,40,37,36,37,33,29,26,24,23,22,22,21,19,18
Galicia,33,46,54,59,69,86,98,110,122,134,147,157,165,176,177,169,168,162,158,154,149,143,140,136,133,128,123,117,115,112,112,101,96,92,87,90,85,83,73,73,47,45,37,36,34,37,30,28
Madrid,767,834,942,1050,1150,1221,1312,1404,1429,1460,1514,1514,1528,1506,1498,1499,1510,1494,1450,1433,1399,1376,1332,1327,1299,1244,1206,1154,1094,1123,1111,1076,1024,981,949,892,873,855,815,773,727,706,681,674,660,640,610,582
Melilla,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,16,20,23,26,33,36,53,58,57,57,59,57,58,57,57,58,53,51,50,47,49,42,44,44,41,36,36,34,36,31,30,27,25,28,22,22,22,22,22,20,19,19,20,18,19,17,15,13
Navarra,25,29,31,36,47,52,58,61,68,78,79,83,85,89,95,89,90,91,90,87,82,80,75,69,64,62,59,53,56,54,53,52,50,48,47,47,45,45,45,43,40,38,38,39,39,37,36,
País Vasco,71,79,89,106,111,134,153,170,189,200,204,215,227,228,236,227,216,218,212,204,198,198,187,185,183,175,169,163,150,147,141,141,127,123,116,113,115,113,114,104,97,95,91,90,87,85,80,78
La rioja,17,20,22,24,26,28,29,28,30,29,31,32,38,38,40,36,36,33,33,34,33,31,28,27,22,22,20,22,22,22,21,18,19,16,15,16,16,15,14,13,12,13,13,13,13,12,12,11
ESPAÑA,1594,1782,2329,2612,2827,3152,2753,2977,3310,3475,3678,3549,3636,3655,3668,3640,3624,3594,3515,3854,3730,3643,3534,3477,3398,3289,3152,3008,2871,2835,2781,2680,2548,2426,2334,2221,2154,2120,2028,1926,1792,1733,1676,1630,1584,1.541,1441,1361
