RECUPERADOS,vi 20/3,sá 21/3,do 22/3,lu 23/3,ma 24/3,mi 25/3,ju 26/3,vi 27/3,sá 28/3,do 29/3,lu 30/3,ma 31/3,mi 01/4,ju 02/4,vi 03/4,sá 04/4,do 05/4,lu 06/4,ma 07/4,mi 08/4,ju 09/4,vi 10/4,sá 11/4,do 12/4,lu 13/4,ma 14/4,mi 15/4,ju 16/4,vi 17/4,sá 18/4,do 19/4,lu 20/4,ma 21/4,mi 22/4,ju 23/4,vi 24/4,sá 25/4,do 26/4,lu 27/4,ma 28/4,mi 29/4,ju 30/4,vi 01/5,sá 02/5,do 03/5,lu 04/5,ma 05/5,mi 06/5,ju 07/5,vi 08/5,sá 09/5,do 10/5,lu 11/5,ma 12/5,mi 13/5,ju 14/5,vi 15/5,sá 16/5,do 17/5,lu 18/5,ma 19/5,mi 20/5,ju 21/5,vi 22/5,sá 23/5,do 24/5,lu 25/5,ma 26/5,mi 27/5,ju 28/5
Andalucía,40,46,50,66,71,77,92,139,148,155,160,182,228,258,463,665,798,900,1041,1193,1437,1630,1838,1967,2032,2224,2634,2790,2948,3116,3229,3411,3569,3847,3992,4295,4741,4890,5039,5272,5710,6334,6821,6897,7021,7230,7679,8076,8435,8779,9020,9205,9297,9481,9918,10148,10319,10611,10671,10946,11289,11624,11742,12081,12181,12230,12492,12690,12857,13058
Aragón,1,2,3,3,4,4,8,8,8,174,204,257,320,378,440,537,565,578,659,718,797,888,934,946,963,1012,1087,1132,1121,1175,1178,1182,1530,1680,1781,1929,1960,2010,2081,2189,2291,2382,2474,2558,2624,2704,2790,2880,2953,3006,3076,3116,3186,3312,3471,3534,3655,3727,3772,3498,3563,3618,3639,3660,3677,3722,3762,3814,3847,3893
Asturias,15,18,21,30,35,40,52,65,76,78,90,109,135,154,190,216,222,244,294,340,372,414,430,434,458,487,522,545,575,596,599,616,642,665,688,716,749,759,780,809,835,860,890,908,917,936,953,971,983,1012,1022,1026,1031,1038,1046,1053,1055,1061,1063,1112,1256,1375,1379,1379,1397,1440,1491,1543,1583,1651
Baleares,12,15,18,19,28,39,67,80,82,100,111,170,239,375,422,461,531,537,616,696,737,757,848,862,871,881,918,938,958,993,1005,1005,1017,1047,1081,1102,1123,1136,1166,1196,1219,1245,1268,1284,1294,1307,1321,1345,1374,1395,1401,1415,1423,1465,1492,1513,1519,1523,1533,1537,1552,1566,1583,1590,1594,1601,1605,1620,1630,1667
Canarias,5,6,7,8,15,18,20,25,30,32,57,77,94,102,123,137,157,186,249,359,386,432,447,458,589,622,673,730,785,789,813,878,927,969,1017,1036,1048,1047,1075,1107,1131,1151,1149,1150,1166,1190,1223,1258,1318,1342,1346,1391,1456,1475,1496,1506,1524,1524,1537,1567,1602,1652,1675,1701,1734,1767,1805,1838,1920,1930
Cantabria,7,9,11,12,12,14,19,21,25,24,35,43,60,74,99,113,118,129,175,214,265,281,297,317,323,363,442,510,534,610,626,646,718,850,913,1046,1127,1241,1290,1372,1483,1509,1551,1616,1610,1658,1696,1758,1786,1862,1933,1963,1981,2054,2110,2152,2195,2270,2287,2301,2344,2370,2394,2426,2447,2457,2471,2487,2496,2511
Castilla La Mancha,24,35,51,53,71,95,153,197,236,252,296,397,494,579,657,1149,1259,1353,1557,1766,1982,2205,2365,2532,2943,2998,3378,3600,3838,3963,4178,4242,4337,4577,4782,4876,5196,5282,5306,5382,5512,5615,5702,5772,5794,5824,5862,5895,5981,6062,6129,6172,6181,6205,6244,6294,6328,6378,6392,6412,6437,6470,6504,6529,6541,6543,6547,6570,6594,6602
Castilla y León,55,88,117,140,213,308,423,585,752,871,1028,1259,1498,1759,2021,2331,2533,2711,2988,3242,3506,3757,4010,4154,4266,4521,4725,4924,5103,5262,5366,5429,5614,5777,5943,6033,6208,6272,6323,6448,6569,6686,6813,6856,6900,6935,7036,7149,7231,7317,7429,7453,7472,7544,7621,7672,7735,8716,8716,7780,7890,7970,8001,8052,8060,8066,8095,8145,8169,8190
Cataluña,450,512,644,728,1274,1697,2348,3106,3455,4125,4966,5701,6917,7849,8635,9528,10088,10738,12250,13063,13513,14258,14975,15602,15967,16651,17297,18724,13275,13691,13934,14446,15089,15477,16138,16753,17006,17897,18319,19060,19615,19640,19913,20332,21898,22553,22881,23231,23664,24063,24349,24454,24966,25326,25849,25904,26067,26172,26203,36402,36402,36402,36579,36962,37147,37180,37254,37375,37555,37778
Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,7,12,17,17,20,22,30,41,44,53,59,74,73,76,76,84,98,104,107,110,114,126,138,140,141,142,145,150,150,154,154,154,154,154,156,159,160,163,163,163,165,167,169,169,171,171,171,171,171,171,171
